# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	786
#@/user_id	ed751593-6667-438a-bbc5-9a91ae2b246f
a 	啊	c=1 d=0.117068 t=554
ai nv 	愛女	c=0 d=0.1 t=568
an 	按	c=1 d=0.0788664 t=554
an jian 	按键	c=2 d=1.42316 t=750
an zhao 	按照	c=1 d=1 t=608
an zhuang 	安裝	c=43 d=10.5511 t=773
an zu hua 	安祖花	c=0 d=0.0612626 t=554
an zu hua ge 	安祖花個	c=1 d=0.615697 t=554
ba 	吧	c=3 d=1.06888 t=554
bai hua 	白花	c=1 d=0.970446 t=554
ban 	版	c=1 d=0.121238 t=554
bang ding 	綁定	c=1 d=1.0827 t=579
bao 	包	c=3 d=2.0289 t=774
bao 	报	c=1 d=1 t=693
bao cun 	保存	c=1 d=0.774916 t=554
bao guan li qi 	包管理器	c=2 d=1.30438 t=554
ben shen 	本身	c=1 d=1 t=659
bi a 	比啊	c=1 d=0.286505 t=554
bi jiao 	比較	c=3 d=1.10991 t=554
bi xu 	必需	c=1 d=1 t=617
bian cheng 	編程	c=2 d=1.25032 t=601
bian li 	便利	c=2 d=0.530409 t=554
bian liang 	變量	c=4 d=1.40234 t=697
bian yi 	編譯	c=1 d=0.150318 t=554
biao da shi 	表達式	c=1 d=0.532592 t=554
biao shi 	表示	c=2 d=1.11824 t=727
biao ti 	標題	c=1 d=1 t=664
bing 	並	c=1 d=0.451581 t=554
bing 	病	c=1 d=0.449329 t=554
bu 	不	c=1 d=1.00732 t=594
bu men 	部門	c=2 d=0.180126 t=554
bu neng 	不能	c=3 d=1.46289 t=554
bu neng ne ge 	不能呢個	c=1 d=0.612626 t=554
bu shi 	不是	c=2 d=1.04408 t=554
bu shi yong 	不適用	c=2 d=0.614628 t=554
bu yao 	不要	c=1 d=0.116484 t=554
bu zhou 	步驟	c=1 d=0.722527 t=554
can kao 	參考	c=1 d=0.141564 t=554
cao zuo 	操作	c=1 d=0.99005 t=554
ce shi 	測試	c=1 d=1 t=777
ce shi 	策士	c=1 d=1 t=776
chang 	長	c=1 d=0.15259 t=554
chong 	重	c=0 d=0.0286505 t=554
chong ding 	衝頂	c=0 d=0.0283654 t=554
chong ding yi 	衝頂一	c=1 d=0.285076 t=554
chong ding yi 	重定義	c=1 d=0.287941 t=554
chong fu 	重複	c=2 d=0.277516 t=554
chong tu 	衝突	c=1 d=0.448192 t=762
chong xin 	重新	c=1 d=0.166127 t=554
chu lai 	出來	c=1 d=0.185444 t=554
chu shi hua 	初始化	c=2 d=0.563962 t=554
chuang jian 	創建	c=3 d=1.71902 t=602
chuang jian ai nv 	創建愛女	c=1 d=1 t=569
cun zai 	存在	c=4 d=2.18737 t=627
cuo wu 	錯誤	c=1 d=0.657047 t=554
da kai 	打開	c=1 d=1 t=700
da kuo hao 	大括號	c=2 d=1.17427 t=554
da zi 	打字	c=1 d=1 t=554
dai ma 	代碼	c=1 d=0.25373 t=554
dai ma kuai 	代碼快	c=1 d=0.600496 t=554
dan 	單	c=1 d=0.302203 t=554
dan chun 	單純	c=1 d=0.282239 t=554
dan kuo hao 	單括號	c=1 d=0.571209 t=554
dang qian 	當前	c=2 d=0.314363 t=554
dao 	到	c=2 d=1.28365 t=625
dao chu 	導出	c=1 d=1 t=736
de 	的	c=25 d=7.03107 t=769
deng 	等	c=2 d=1.9802 t=756
deng dai 	等待	c=2 d=0.494492 t=554
dian 	点	c=2 d=1.99005 t=710
dian hua 	電話	c=1 d=1 t=592
dian hua 	靛花	c=1 d=1 t=591
diao yong 	調用	c=1 d=1 t=613
ding yi 	定義	c=0 d=0.0286505 t=554
dong xi 	東西	c=1 d=1 t=771
dong xi 	洞悉	c=1 d=1 t=770
dou 	都	c=2 d=0.303211 t=554
dou ke yi 	都可以	c=1 d=0.0833256 t=554
dui ying 	對應	c=1 d=0.145959 t=724
dui ying de 	對應的	c=1 d=1 t=725
en 	恩	c=3 d=2.7329 t=554
er jin zhi 	二進制	c=1 d=0.279431 t=554
fa 	法	c=2 d=0.257585 t=554
fa 	發	c=2 d=1.25924 t=778
fa chu lai 	發出來	c=1 d=0.88692 t=554
fan hui 	返回	c=2 d=0.522398 t=554
fan ti 	繁體	c=1 d=0.0692522 t=554
fan wei 	範圍	c=0 d=0.0532592 t=554
fang shi 	方式	c=1 d=1 t=612
fei 	費	c=1 d=0.57695 t=554
